eyeX,eyeY,eyeZ,timestamp
0,0,1,0
0,0,1,0.02
0,0,1,0.3533334
0,0,1,0.3792633
0,0,1,0.386226
0,0,1,0.3927647
0,0,1,0.3989663
0,0,1,0.4111465
0,0,1,0.4183946
0,0,1,0.4253163
0,0,1,0.4315483
0,0,1,0.4374992
0,0,1,0.4440845
0,0,1,0.4507855
0,0,1,0.4571265
0,0,1,0.4639372
0,0,1,0.4798364
0,0,1,0.4856523
0,0,1,0.6053849
0,0,1,0.6272709
0,0,1,0.6369504
0,0,1,0.6454881
0,0,1,0.6540294
0,0,1,0.6620331
0,0,1,0.6707008
0,0,1,0.6808294
0,0,1,0.688933
0,0,1,0.6956766
0,0,1,0.7026511
0,0,1,0.7101136
0,0,1,0.7345182
0,0,1,0.7416668
0,0,1,0.7476525
0,0,1,0.7538047
0,0,1,0.7605804
0,0,1,0.7740293
0,0,1,0.7816658
0,0,1,0.7898633
0,0,1,0.7974391
0,0,1,0.8053863
0,0,1,0.813178
0,0,1,0.8223588
0,0,1,0.8299326
0,0,1,0.8372849
0,0,1,0.8445539
0,0,1,0.8518021
0,0,1,0.8577732
0,0,1,0.864816
0,0,1,0.8729823
0,0,1,0.8814909
0,0,1,0.8886592
0,0,1,0.8960423
0,0,1,0.9029285
0,0,1,0.9110194
0,0,1,0.9258346
0,0,1,0.9349179
0,0,1,0.9412127
0,0,1,0.9479097
0,0,1,0.9551736
0,0,1,0.9619989
0,0,1,0.9696912
0,0,1,0.9769223
0,0,1,0.9842529
0,0,1,0.9907482
0,0,1,0.9974512
0,0,1,1.116075
0,0,1,1.130138
0,0,1,1.137319
0,0,1,1.143095
0,0,1,1.157579
0,0,1,1.164261
0,0,1,1.170847
0,0,1,1.177674
0,0,1,1.183784
0,0,1,1.189871
0,0,1,1.19664
0,0,1,1.202644
0,0,1,1.208409
0,0,1,1.214416
0,0,1,1.220404
0,0,1,1.226947
0,0,1,1.233136
0,0,1,1.23942
0,0,1,1.245917
0,0,1,1.254564
0,0,1,1.262411
0,0,1,1.268559
0,0,1,1.279741
0,0,1,1.286316
0,0,1,1.292202
0,0,1,1.298084
0,0,1,1.304228
0,0,1,1.310237
0,0,1,1.316409
0,0,1,1.323466
0,0,1,1.329461
0,0,1,1.335811
0,0,1,1.34182
0,0,1,1.348006
0,0,1,1.354136
0,0,1,1.360362
0,0,1,1.36755
0,0,1,1.373491
0,0,1,1.379336
0,0,1,1.385876
0,0,1,1.39212
0,0,1,1.398039
0,0,1,1.404342
0,0,1,1.410452
0,0,1,1.417025
0,0,1,1.423475
0,0,1,1.435192
0,0,1,1.442891
0,0,1,1.449369
0,0,1,1.455367
0,0,1,1.461512
0,0,1,1.467628
0,0,1,1.474207
0,0,1,1.480446
0,0,1,1.486937
0,0,1,1.492723
0,0,1,1.499223
0,0,1,1.507223
0,0,1,1.513072
0,0,1,1.636371
0,0,1,1.652353
0,0,1,1.65864
0,0,1,1.664985
0,0,1,1.671143
0,0,1,1.676993
0,0,1,1.682873
0,0,1,1.689852
0,0,1,1.69652
0,0,1,1.702513
0,0,1,1.708429
0,0,1,1.714424
0,0,1,1.720559
0,0,1,1.726942
0,0,1,1.732958
0,0,1,1.73877
0,0,1,1.744956
0,0,1,1.751415
0,0,1,1.757155
0,0,1,1.762921
0,0,1,1.769052
0,0,1,1.775495
0,0,1,1.781386
0,0,1,1.787552
0,0,1,1.799634
0,0,1,1.806273
0,0,1,1.812111
0,0,1,1.818071
0,0,1,1.82444
0,0,1,1.830459
0,0,1,1.837215
0,0,1,1.844588
0,0,1,1.85086
0,0,1,1.856909
0,0,1,1.863782
0,0,1,1.870349
0,0,1,1.876204
0,0,1,1.882154
0,0,1,1.888441
0,0,1,1.895253
0,0,1,1.903345
0,0,1,1.910003
0,0,1,1.917926
0,0,1,1.92504
0,0,1,1.931885
0,0,1,1.938778
0,0,1,1.952341
0,0,1,1.95989
0,0,1,1.966508
0,0,1,1.973444
0,0,1,1.980442
0,0,1,1.986897
0,0,1,1.993698
0,0,1,2.000663
0,0,1,2.008057
0,0,1,2.015472
0,0,1,2.022804
0,0,1,2.149267
0,0,1,2.165472
0,0,1,2.173446
0,0,1,2.180722
0,0,1,2.188478
0,0,1,2.195394
0,0,1,2.202673
0,0,1,2.210076
0,0,1,2.217066
0,0,1,2.224768
0,0,1,2.232866
0,0,1,2.239817
0,0,1,2.247249
0,0,1,2.254104
0,0,1,2.261353
0,0,1,2.268295
0,0,1,2.274644
0,0,1,2.282661
0,0,1,2.289075
0,0,1,2.295489
0,0,1,2.302125
0,0,1,2.315061
0,0,1,2.321898
0,0,1,2.328719
0,0,1,2.335678
0,0,1,2.342033
0,0,1,2.349167
0,0,1,2.357807
0,0,1,2.365931
0,0,1,2.376888
0,0,1,2.384105
0,0,1,2.391106
0,0,1,2.397719
0,0,1,2.404836
0,0,1,2.411728
0,0,1,2.418468
0,0,1,2.425648
0,0,1,2.431988
0,0,1,2.449731
0,0,1,2.458685
0,0,1,2.47254
0,0,1,2.48012
0,0,1,2.486674
0,0,1,2.493211
0,0,1,2.500325
0,0,1,2.506766
0,0,1,2.514046
0,0,1,2.520574
0,0,1,2.527693
0,0,1,2.534945
0,0,1,2.542158
0,0,1,2.663075
0,0,1,2.678968
0,0,1,2.68602
0,0,1,2.692836
0,0,1,2.699681
0,0,1,2.707029
0,0,1,2.713826
0,0,1,2.721665
0,0,1,2.728697
0,0,1,2.736038
0,0,1,2.742459
0,0,1,2.74905
0,0,1,2.755543
0,0,1,2.763885
0,0,1,2.770903
0,0,1,2.777972
0,0,1,2.784716
0,0,1,2.791439
0,0,1,2.798309
0,0,1,2.805197
0,0,1,2.811854
0,0,1,2.818922
0,0,1,2.833761
0,0,1,2.841539
0,0,1,2.848434
0,0,1,2.856728
0,0,1,2.863887
0,0,1,2.873215
0,0,1,2.880581
0,0,1,2.887437
0,0,1,2.89446
0,0,1,2.901565
0,0,1,2.908489
0,0,1,2.915776
0,0,1,2.92299
0,0,1,2.929295
0,0,1,2.936111
0,0,1,2.943367
0,0,1,2.95084
0,0,1,2.958208
0,0,1,2.965107
0,0,1,2.972507
0,0,1,2.986723
0,0,1,2.993919
0,0,1,3.000472
0,0,1,3.008217
0,0,1,3.016171
0,0,1,3.023007
0,0,1,3.030008
0,0,1,3.03713
0,0,1,3.044075
0,0,1,3.05128
0,0,1,3.058265
0,0,1,3.17758
0,0,1,3.204528
0,0,1,3.212053
0,0,1,3.219468
0,0,1,3.226652
0,0,1,3.234845
0,0,1,3.241601
0,0,1,3.249335
0,0,1,3.256517
0,0,1,3.26316
0,0,1,3.270096
0,0,1,3.278334
0,0,1,3.285388
0,0,1,3.292168
0,0,1,3.299612
0,0,1,3.306869
0,0,1,3.314144
0,0,1,3.320692
0,0,1,3.327354
0,0,1,3.334687
0,0,1,3.347979
0,0,1,3.355913
0,0,1,3.364265
0,0,1,3.37205
0,0,1,3.379317
0,0,1,3.387482
0,0,1,3.395533
0,0,1,3.403014
0,0,1,3.409459
0,0,1,3.416106
0,0,1,3.423601
0,0,1,3.430683
0,0,1,3.438173
0,0,1,3.444953
0,0,1,3.45175
0,0,1,3.458419
0,0,1,3.465714
0,0,1,3.473009
0,0,1,3.479476
0,0,1,3.488846
0,0,1,3.503037
0,0,1,3.510034
0,0,1,3.517323
0,0,1,3.524725
0,0,1,3.531245
0,0,1,3.537982
0,0,1,3.545878
0,0,1,3.552771
0,0,1,3.559981
0,0,1,3.567281
0,0,1,3.573877
0,0,1,3.693836
0,0,1,3.70894
0,0,1,3.717876
0,0,1,3.724757
0,0,1,3.732888
0,0,1,3.739686
0,0,1,3.746234
0,0,1,3.753113
0,0,1,3.76116
0,0,1,3.769093
0,0,1,3.776816
0,0,1,3.78373
0,0,1,3.79094
0,0,1,3.798723
0,0,1,3.80639
0,0,1,3.813804
0,0,1,3.821199
0,0,1,3.828926
0,0,1,3.836158
0,0,1,3.842536
0,0,1,3.850384
0,0,1,3.863672
